A,B,C,D,E,Y
0.920573718,0.32686065,0.527806687,0.203112673,0.994425583,1.306219047
0.484593478,0.108276374,0.388172236,0.465688748,0.173284331,1.358121965
0.827789315,0.865966716,0.930056145,0.558215376,0.152118507,2.30261753
0.205888925,0.216347297,0.87890196,0.329862529,0.244587021,0.734087551
0.06683937,0.429225168,0.497778675,0.009710086,0.271563592,0.806972537
0.987807562,0.285353529,0.062416841,0.159310379,0.777509987,1.459325644
0.28560287,0.566804553,0.936043101,0.687447352,0.92673889,0.561149842
0.744210712,0.833316284,0.752797296,0.8927774,0.21718395,2.755650978
0.819360851,0.71584256,0.358435383,0.91015233,0.007432478,3.103846574
0.337471448,0.76489676,0.750267872,0.788289515,0.39381573,1.48691726
0.708615345,0.19134724,0.034999446,0.157101292,0.26606207,1.528158263
0.73207291,0.168687489,0.243860382,0.585100611,0.21105729,1.650060811
0.159664597,0.348069558,0.395094373,0.999954823,0.239032116,1.978212274
0.181120493,0.039508517,0.678547624,0.126530098,0.426662535,0.680758013
0.172077762,0.421443905,0.569297082,0.765763858,0.081618714,1.390795976
0.709942069,0.31767309,0.370414407,0.412495693,0.984860156,1.142893993
0.520686826,0.373753103,0.455830398,0.972640039,0.631614691,2.01273323
0.320297675,0.638136997,0.582656609,0.827342445,0.007832249,1.918725063
0.217278582,0.467829652,0.656800868,0.081556446,0.303964181,0.95762171
0.708632998,0.648833129,0.771293671,0.090917687,0.076965731,1.996573472
0.216147144,0.182339616,0.596925956,0.61559054,0.791586287,0.623647702
0.130596585,0.330469529,0.763624073,0.628069243,0.572424092,0.596567496
0.772177366,0.754773397,0.405048944,0.748294906,0.305053899,2.409351477
0.500566443,0.96718251,0.978241308,0.129851886,0.907104433,1.118755364
0.069435818,0.619980727,0.274092644,0.747488405,0.186966518,1.174689118
0.561704904,0.982370746,0.7939566,0.168336954,0.533199562,1.742660892
0.530868355,0.536457868,0.850797526,0.435126253,0.012880523,1.617687856
0.534203796,0.803839536,0.144058439,0.929724215,0.169997106,2.663570389
0.953673331,0.715594437,0.031788073,0.377840811,0.650246388,2.103985686
0.294689574,0.778861701,0.258714614,0.038391604,0.612220698,1.084944621
